date,ticker,open,high,low,close,volume
2023-01-02,AAPL,298.68,299.98,297.91,298.32,4455736
2023-01-03,AAPL,299.46,300.85,298.99,299.47,4842514
2023-01-04,AAPL,298.01,298.58,297.48,298.15,4797919
2023-01-05,AAPL,299.5,300.09,299.04,299.14,1045665
2023-01-06,AAPL,299.74,299.97,298.78,299.35,2635239
2023-01-09,AAPL,298.61,300.13,296.64,298.4,4567713
2023-01-10,AAPL,298.68,299.62,297.55,299.53,4453383
2023-01-11,AAPL,298.03,298.19,297.36,297.99,2052693
2023-01-12,AAPL,299.17,299.56,297.99,298.19,4497132
2023-01-13,AAPL,299.19,299.25,297.36,297.99,1561157
2023-01-16,AAPL,297.75,299.33,296.27,296.76,2342139
2023-01-17,AAPL,295.22,296.95,293.45,294.82,4645752
2023-01-18,AAPL,294.25,295.98,292.57,294.02,2372242
2023-01-19,AAPL,293.79,295.77,293.27,293.42,4841815
2023-01-20,AAPL,296.45,297.9,295.88,296.3,2079188
2023-01-23,AAPL,296.07,296.89,295.43,295.84,3635923
2023-01-24,AAPL,294.71,295.29,292.99,293.55,2819415
2023-01-25,AAPL,294.38,295.85,293.69,294.29,1610703
2023-01-26,AAPL,295.48,296.41,295.27,296.4,4544781
2023-01-27,AAPL,296.57,298.05,296.35,297.33,3208067
2023-01-30,AAPL,297.0,298.8,296.96,297.26,1534651
2023-01-31,AAPL,295.96,296.66,295.49,296.27,3188931
2023-02-01,AAPL,294.65,296.04,294.63,295.97,2689693
2023-02-02,AAPL,298.58,298.72,298.38,298.5,3611381
2023-02-03,AAPL,297.53,297.57,295.69,297.24,1535377
2023-02-06,AAPL,297.21,297.77,296.65,297.38,4687043
2023-02-07,AAPL,299.12,300.34,298.46,299.13,2820668
2023-02-08,AAPL,299.83,301.49,299.5,299.74,4514296
2023-02-09,AAPL,300.62,301.57,299.75,301.18,4193531
2023-02-10,AAPL,299.88,300.63,299.69,300.46,2751957
2023-02-13,AAPL,299.43,300.93,297.96,298.84,4482332
2023-02-14,AAPL,300.02,301.12,298.85,300.24,3902243
2023-02-15,AAPL,298.84,300.6,298.31,299.82,2303847
2023-02-16,AAPL,297.67,298.99,296.85,298.16,3369203
2023-02-17,AAPL,298.22,299.65,296.61,299.45,1435250
2023-02-20,AAPL,299.89,301.8,299.46,301.78,2562474
2023-02-21,AAPL,300.73,301.61,300.53,301.54,1648612
2023-02-22,AAPL,301.07,301.98,299.43,300.12,1513667
2023-02-23,AAPL,298.52,298.71,297.05,297.74,4478057
2023-02-24,AAPL,297.11,297.55,295.8,297.31,4716564
2023-02-27,AAPL,296.59,296.6,295.86,295.98,4626869
2023-02-28,AAPL,295.17,296.7,294.92,295.77,1289696
2023-03-01,AAPL,294.82,296.47,293.06,294.48,2910525
2023-03-02,AAPL,292.95,294.79,292.44,294.08,2804823
2023-03-03,AAPL,292.99,294.73,291.78,294.24,1343992
2023-03-06,AAPL,295.23,297.01,293.83,294.35,4567972
2023-03-07,AAPL,296.21,297.1,296.09,296.92,1239019
2023-03-08,AAPL,295.44,296.0,294.19,295.14,4832319
2023-03-09,AAPL,295.55,296.06,294.28,295.25,2067057
2023-03-10,AAPL,296.54,297.03,295.76,296.18,4293191
2023-03-13,AAPL,295.77,296.0,294.88,295.2,3089387
2023-03-14,AAPL,295.42,296.64,295.02,295.1,3532462
2023-03-15,AAPL,295.05,295.5,293.75,294.05,2621418
2023-03-16,AAPL,293.14,294.37,291.25,293.46,2609751
2023-03-17,AAPL,292.07,292.99,291.05,291.55,3198851
2023-03-20,AAPL,291.74,292.42,289.89,290.8,4589014
2023-03-21,AAPL,291.68,293.36,290.19,291.94,1785291
2023-03-22,AAPL,292.1,293.36,291.25,292.07,1048207
2023-03-23,AAPL,292.17,293.78,292.09,293.05,4217269
2023-03-24,AAPL,294.06,294.79,292.36,294.04,3538272
2023-03-27,AAPL,294.58,296.45,293.2,295.59,4453431
2023-03-28,AAPL,295.45,296.74,293.94,294.47,1407466
2023-03-29,AAPL,295.59,296.06,295.17,295.64,2738165
2023-03-30,AAPL,295.21,295.69,293.94,294.12,3253185
2023-03-31,AAPL,294.34,294.43,292.95,294.38,4321802
2023-04-03,AAPL,295.27,296.91,294.43,296.87,4212405
2023-04-04,AAPL,298.38,300.13,297.8,299.99,4895429
2023-04-05,AAPL,299.7,300.17,298.63,299.38,2210775
2023-04-06,AAPL,300.11,300.44,298.7,299.24,3841722
2023-04-07,AAPL,301.15,301.41,300.68,300.92,3594292
2023-04-10,AAPL,301.27,301.41,300.47,300.82,1386162
2023-04-11,AAPL,300.07,300.96,298.91,298.92,3706027
2023-04-12,AAPL,297.74,299.44,297.03,299.17,1423157
2023-04-13,AAPL,298.59,298.6,298.54,298.56,3475359
2023-04-14,AAPL,297.92,298.23,296.21,297.32,4699367
2023-04-17,AAPL,297.24,297.52,295.88,296.25,3526957
2023-04-18,AAPL,294.63,296.59,293.59,295.57,4892584
2023-04-19,AAPL,297.54,298.38,296.86,297.83,4599120
2023-04-20,AAPL,299.63,299.85,298.49,299.54,2093767
2023-04-21,AAPL,300.93,301.83,299.65,299.78,1562196
2023-04-24,AAPL,299.5,299.51,297.84,298.59,2656195
2023-04-25,AAPL,296.16,297.08,295.49,296.3,4567945
2023-04-26,AAPL,296.4,297.1,295.74,296.63,2009561
2023-04-27,AAPL,295.89,297.64,295.67,296.56,1884003
2023-04-28,AAPL,296.78,298.59,296.07,296.23,3234554
2023-05-01,AAPL,295.63,295.74,295.59,295.61,1267914
2023-05-02,AAPL,295.71,297.7,294.89,295.74,2249533
2023-05-03,AAPL,296.46,296.53,295.51,296.13,1614482
2023-05-04,AAPL,296.86,296.9,296.64,296.85,1043892
2023-05-05,AAPL,295.25,295.91,293.63,293.79,1690496
2023-05-08,AAPL,294.47,295.71,293.19,293.71,1165213
2023-05-09,AAPL,294.4,295.2,294.35,294.69,2754155
2023-05-10,AAPL,295.43,295.82,293.52,294.31,1554670
2023-05-11,AAPL,292.23,292.33,291.83,292.11,4222195
2023-05-12,AAPL,291.76,291.82,291.69,291.7,4363357
2023-05-15,AAPL,291.87,292.05,290.67,291.5,1830241
2023-05-16,AAPL,290.94,292.62,290.41,291.86,2477419
2023-05-17,AAPL,291.16,292.15,290.88,291.61,4720944
2023-05-18,AAPL,291.04,292.55,289.55,291.03,4688977
2023-05-19,AAPL,291.52,292.16,290.66,290.67,2235017
2023-05-22,AAPL,291.25,292.78,289.8,291.74,2352257
2023-05-23,AAPL,291.07,293.0,289.76,291.29,3990618
2023-05-24,AAPL,292.47,294.2,292.31,294.05,3547239
